id_reseau,annee,energie_produite_gwh,energie_vendue_gwh,pertes_reseau_gwh,prix_vente_kwh,cout_production_kwh,cout_maintenance_eur,recettes_eur,charges_eur,investissements_eur,subventions_eur,taux_occupation_pct,dju_annuel
RCU008,2022,173.2,140.2,33.0,0.099,0.080,1060000,13879800,16256000,1700000,0,79.8,1790
RCU008,2023,174.1,140.8,33.3,0.105,0.085,1100000,14784000,17176000,900000,0,80.2,1910
RCU009,2020,52.6,49.0,3.6,0.068,0.043,245000,3332000,2539000,650000,1200000,94.2,1820
RCU009,2021,55.4,51.6,3.8,0.071,0.045,258000,3663600,2640000,560000,1050000,95.0,1870
RCU009,2022,56.8,52.9,3.9,0.075,0.047,268000,3967500,2740000,780000,960000,95.6,1790
RCU009,2023,57.6,53.7,3.9,0.079,0.049,278000,4242300,2846000,490000,870000,96.1,1910
RCU010,2020,38.4,34.7,3.7,0.073,0.048,210000,2533100,1946000,420000,980000,91.5,2680
RCU010,2021,41.2,37.2,4.0,0.076,0.050,225000,2827200,2024000,360000,850000,92.8,2740
RCU010,2022,43.5,39.3,4.2,0.080,0.052,238000,3144000,2105000,520000,780000,93.6,2610
RCU010,2023,44.8,40.5,4.3,0.085,0.054,248000,3442500,2190000,320000,720000,94.2,2810
RCU011,2020,142.6,119.0,23.6,0.080,0.058,720000,9520000,9542000,1300000,320000,81.6,2150
RCU011,2021,146.8,122.5,24.3,0.084,0.061,755000,10290000,9940000,1100000,280000,82.5,2200
RCU011,2022,149.4,124.7,24.7,0.089,0.063,785000,11098300,10316000,1450000,260000,83.1,2090
RCU011,2023,151.2,126.2,25.0,0.094,0.066,815000,11862800,10684000,900000,240000,83.8,2250
RCU012,2020,84.3,76.8,7.5,0.070,0.044,410000,5376000,4396000,750000,1650000,92.4,2020
RCU012,2021,88.1,80.3,7.8,0.073,0.046,432000,5861900,4580000,640000,1480000,93.2,2070
RCU012,2022,90.6,82.5,8.1,0.077,0.048,452000,6352500,4774000,890000,1350000,93.9,1970
RCU012,2023,92.4,84.2,8.2,0.082,0.050,472000,6904400,4970000,560000,1200000,94.5,2110
RCU013,2020,108.4,95.7,12.7,0.075,0.051,580000,7177500,6496000,920000,840000,88.2,2380
RCU013,2021,112.6,99.5,13.1,0.079,0.053,612000,7860500,6756000,790000,740000,89.1,2440
RCU013,2022,115.2,101.8,13.4,0.083,0.055,641000,8449400,7022000,1060000,680000,89.8,2320
RCU013,2023,117.1,103.5,13.6,0.088,0.058,668000,9108000,7316000,660000,620000,90.4,2500
RCU014,2020,195.4,160.2,35.2,0.086,0.066,1050000,13777200,15756000,1600000,0,78.9,2320
RCU014,2021,198.6,162.8,35.8,0.091,0.070,1090000,14814800,16454000,1380000,0,79.6,2380
RCU014,2022,200.3,164.1,36.2,0.096,0.074,1125000,15753600,17152000,1820000,0,80.1,2250
RCU014,2023,201.8,165.2,36.6,0.102,0.079,1160000,16850400,17852000,1040000,0,80.6,2420
RCU015,2020,18.6,17.5,1.1,0.065,0.041,125000,1137500,892000,280000,2400000,95.8,2020
RCU015,2021,21.4,20.2,1.2,0.068,0.043,138000,1373600,966000,240000,2100000,96.7,2070
RCU015,2022,24.8,23.4,1.4,0.072,0.045,152000,1684800,1042000,340000,1900000,97.4,1970
RCU015,2023,27.5,25.9,1.6,0.077,0.047,165000,1994300,1122000,210000,1750000,98.0,2110
